Westminster,Sexual Offences,620,799,981,978,695,871,798,425,482
Brent,Fraud and Forgery,0,0,0,0,0,0,0,1299,111
Richmond upon Thames,Possession of Weapons,39,40,58,72,26,67,51,31,34
Ealing,Fraud and Forgery,0,0,0,0,0,0,0,1165,113
Barking and Dagenham,Public Order Offences,773,922,1122,944,937,1026,1165,522,608
Harrow,Public Order Offences,559,605,855,859,636,685,1003,407,459
Hounslow,Possession of Weapons,120,129,222,232,83,196,204,108,108
Hackney,Violence Against the Person,5887,7114,7751,7615,6836,7526,7841,4908,4845
Hounslow,Public Order Offences,1207,1439,1715,1533,1340,1563,1689,941,906
Harrow,Fraud and Forgery,0,0,0,0,0,0,0,631,89
Bromley,Possession of Weapons,94,101,148,205,99,220,181,99,94
Haringey,Sexual Offences,426,565,643,673,513,598,655,323,285
Kensington and Chelsea,Violence Against the Person,2844,3414,4203,4084,3395,3801,3902,2206,2075
Redbridge,Violence Against the Person,4763,5415,6266,6133,5008,5613,6593,3510,3635
Waltham Forest,Sexual Offences,387,475,487,495,447,550,497,245,275
Bromley,Fraud and Forgery,0,0,0,0,0,0,0,597,61
Islington,Violence Against the Person,5035,6061,6310,6441,5712,6128,5983,4073,3918
Kensington and Chelsea,Sexual Offences,239,314,367,378,267,326,372,185,208
Westminster,Violence Against the Person,6812,8367,10741,9776,7869,9303,8641,5802,5523
Tower Hamlets,Sexual Offences,489,685,659,684,518,652,656,369,365
Havering,Violence Against the Person,3332,5039,5389,5303,4214,4960,5088,2815,2748
Southwark,Sexual Offences,532,688,752,849,642,789,736,409,428
Havering,Fraud and Forgery,0,0,0,0,0,0,0,474,39
Hammersmith and Fulham,Violence Against the Person,3698,4629,5299,5099,4360,4729,4944,3247,3033
Redbridge,Public Order Offences,974,1071,1205,1155,962,1159,1332,690,662
Newham,Fraud and Forgery,0,0,0,0,0,0,0,1611,150
Lewisham,Public Order Offences,1213,1600,1856,1590,1519,1553,2149,1000,1057
Hillingdon,Possession of Weapons,79,110,169,199,99,162,195,68,91
Wandsworth,Fraud and Forgery,0,0,0,0,0,0,0,905,85
Bexley,Fraud and Forgery,0,0,0,0,0,0,0,421,91
Waltham Forest,Possession of Weapons,175,196,250,246,193,247,225,147,142
Barking and Dagenham,Violence Against the Person,4354,5260,5948,5502,5060,5280,6176,3335,3425
Sutton,Violence Against the Person,2634,3093,4195,3597,3115,3491,4128,2327,2031
Barnet,Public Order Offences,1098,1531,1767,1575,1324,1663,1748,627,733
Kingston upon Thames,Violence Against the Person,1964,2594,3308,3175,2477,2862,3214,1925,1734
Bexley,Sexual Offences,236,348,374,346,265,357,366,161,174
Greenwich,Fraud and Forgery,0,0,0,0,0,0,0,733,94
Haringey,Fraud and Forgery,0,0,0,0,0,0,0,855,88
Havering,Possession of Weapons,87,113,166,173,90,137,136,96,91
Southwark,Fraud and Forgery,0,0,0,0,0,0,0,979,106
Sutton,Sexual Offences,231,286,281,273,211,347,324,182,202
Kingston upon Thames,Sexual Offences,189,245,259,287,225,309,308,155,134
Hillingdon,Public Order Offences,1264,1462,1619,1571,1386,1521,1833,801,834
Greenwich,Sexual Offences,407,528,675,646,498,636,558,323,294
Hillingdon,Sexual Offences,395,428,479,520,401,527,486,245,281
Merton,Violence Against the Person,2521,3304,3935,3649,3222,3560,4149,2144,2072
Croydon,Violence Against the Person,7043,8639,9578,9060,8318,8595,10577,5786,5334
Sutton,Public Order Offences,529,673,943,793,611,792,931,383,387
Hammersmith and Fulham,Possession of Weapons,128,151,157,174,120,167,137,114,135
Ealing,Sexual Offences,438,531,619,623,529,570,622,344,372
Wandsworth,Sexual Offences,390,623,690,664,534,667,612,292,357
Redbridge,Fraud and Forgery,0,0,0,0,0,0,0,905,132
Islington,Public Order Offences,1593,1885,1727,1649,1796,1746,1929,1289,1066
